number,name,imageUrl,rarity,attr_country,attr_series,attr_matchup,attr_set,attr_year
462,Remo Freuler,,CORE,Switzerland,Hero,,Base Collection,2026
463,Breel Embolo,,CORE,Switzerland,Hero,,Base Collection,2026
464,Rubén Vargas,,CORE,Switzerland,Hero,,Base Collection,2026
465,Dan Ndoye,,CORE,Switzerland,Hero,,Base Collection,2026
466,Ferjani Sassi,,SPECIAL 1,Tunisia,Fan Favourite,,Base Collection,2026
467,Team Crest,,SPECIAL 2,Tunisia,Team Crest,,Base Collection,2026
468,Ellyes Skhiri,,SPECIAL 1,Tunisia,Icon,,Base Collection,2026
469,Aymen Dahmen,,CORE,Tunisia,Hero,,Base Collection,2026
470,Montassar Talbi,,CORE,Tunisia,Hero,,Base Collection,2026
471,Yassine Meriah,,CORE,Tunisia,Hero,,Base Collection,2026
472,Ali Abdi,,CORE,Tunisia,Hero,,Base Collection,2026
473,Aïssa Laïdouni,,CORE,Tunisia,Hero,,Base Collection,2026
474,Hannibal Mejbri,,CORE,Tunisia,Hero,,Base Collection,2026
475,Naïm Sliti,,CORE,Tunisia,Hero,,Base Collection,2026
476,Elias Achouri,,CORE,Tunisia,Hero,,Base Collection,2026
477,Hazem Mastouri,,CORE,Tunisia,Hero,,Base Collection,2026
478,Weston McKennie,,SPECIAL 1,United States,Fan Favourite,,Base Collection,2026
479,Team Crest,,SPECIAL 2,United States,Team Crest,,Base Collection,2026
480,Christian Pulisic,,SPECIAL 1,United States,Icon,,Base Collection,2026
481,Matt Freese,,CORE,United States,Hero,,Base Collection,2026
482,Chris Richards,,CORE,United States,Hero,,Base Collection,2026
483,Tim Ream,,CORE,United States,Hero,,Base Collection,2026
484,Antonee Robinson,,CORE,United States,Hero,,Base Collection,2026
485,Tanner Tessmann,,CORE,United States,Hero,,Base Collection,2026
486,Tyler Adams,,CORE,United States,Hero,,Base Collection,2026
487,Timothy Weah,,CORE,United States,Hero,,Base Collection,2026
488,Malik Tillman,,CORE,United States,Hero,,Base Collection,2026
489,Folarin Balogun,,CORE,United States,Hero,,Base Collection,2026
490,José María Giménez,,SPECIAL 1,Uruguay,Fan Favourite,,Base Collection,2026
491,Team Crest,,SPECIAL 2,Uruguay,Team Crest,,Base Collection,2026
492,Federico Valverde,,SPECIAL 1,Uruguay,Icon,,Base Collection,2026
493,Sergio Rochet,,CORE,Uruguay,Hero,,Base Collection,2026
494,Ronald Araújo,,CORE,Uruguay,Hero,,Base Collection,2026
495,Sebastián Cáceres,,CORE,Uruguay,Hero,,Base Collection,2026
496,Mathías Olivera,,CORE,Uruguay,Hero,,Base Collection,2026
497,Nahitan Nández,,CORE,Uruguay,Hero,,Base Collection,2026
498,Rodrigo Bentancur,,CORE,Uruguay,Hero,,Base Collection,2026
499,Manuel Ugarte,,CORE,Uruguay,Hero,,Base Collection,2026
500,Facundo Pellistri,,CORE,Uruguay,Hero,,Base Collection,2026
501,Darwin Núñez,,CORE,Uruguay,Hero,,Base Collection,2026
502,Abdukodir Khusanov,,SPECIAL 1,Uzbekistan,Fan Favourite,,Base Collection,2026
503,Team Crest,,SPECIAL 2,Uzbekistan,Team Crest,,Base Collection,2026
504,Eldor Shomurodov,,SPECIAL 1,Uzbekistan,Icon,,Base Collection,2026
505,Utkir Yusupov,,CORE,Uzbekistan,Hero,,Base Collection,2026
506,Farrukh Sayfiev,,CORE,Uzbekistan,Hero,,Base Collection,2026
507,Sherzod Nasrullaev,,CORE,Uzbekistan,Hero,,Base Collection,2026
508,Husniddin Aliqulov,,CORE,Uzbekistan,Hero,,Base Collection,2026
509,Rustam Ashurmatov,,CORE,Uzbekistan,Hero,,Base Collection,2026
510,Khojiakbar Alijonov,,CORE,Uzbekistan,Hero,,Base Collection,2026
511,Odiljon Hamrobekov,,CORE,Uzbekistan,Hero,,Base Collection,2026
512,Otabek Shukurov,,CORE,Uzbekistan,Hero,,Base Collection,2026
513,Abbosbek Fayzullaev,,CORE,Uzbekistan,Hero,,Base Collection,2026
514,Team Crests,,CORE,,Contenders,Italy–Northern Ireland / Wales–Bosnia & Herzegovina,Base Collection,2026
515,Team Crests,,CORE,,Contenders,Ukraine–Sweden / Poland–Albania,Base Collection,2026
516,Team Crests,,CORE,,Contenders,Turkey–Romania / Slovakia–Kosovo,Base Collection,2026
517,Team Crests,,CORE,,Contenders,Denmark–North Macedonia / Czech Republic–Republic of Ireland,Base Collection,2026
518,Team Crests,,CORE,,Contenders,New Caledonia–Jamaica / DR Congo,Base Collection,2026
519,Team Crests,,CORE,,Contenders,Suriname–Bolivia / Iraq,Base Collection,2026
520,Morten Hjulmand,,CORE,Denmark,Contender,,Base Collection,2026
521,Pierre-Emile Højbjerg,,CORE,Denmark,Contender,,Base Collection,2026
522,Christian Eriksen,,CORE,Denmark,Contender,,Base Collection,2026
523,Mikkel Damsgaard,,CORE,Denmark,Contender,,Base Collection,2026
524,Rasmus Højlund,,CORE,Denmark,Contender,,Base Collection,2026
525,Gianluigi Donnarumma,,CORE,Italy,Contender,,Base Collection,2026
526,Alessandro Bastoni,,CORE,Italy,Contender,,Base Collection,2026
527,Sandro Tonali,,CORE,Italy,Contender,,Base Collection,2026
528,Nicolò Barella,,CORE,Italy,Contender,,Base Collection,2026
529,Moise Kean,,CORE,Italy,Contender,,Base Collection,2026
530,Andre Blake,,CORE,Jamaica,Contender,,Base Collection,2026
531,Ethan Pinnock,,CORE,Jamaica,Contender,,Base Collection,2026
532,Demarai Gray,,CORE,Jamaica,Contender,,Base Collection,2026
533,Leon Bailey,,CORE,Jamaica,Contender,,Base Collection,2026
534,Shamar Nicholson,,CORE,Jamaica,Contender,,Base Collection,2026
535,Matty Cash,,CORE,Poland,Contender,,Base Collection,2026
536,Jakub Kiwior,,CORE,Poland,Contender,,Base Collection,2026
537,Piotr Zieliński,,CORE,Poland,Contender,,Base Collection,2026
538,Sebastian Szymański,,CORE,Poland,Contender,,Base Collection,2026
539,Robert Lewandowski,,CORE,Poland,Contender,,Base Collection,2026
540,Isak Hien,,CORE,Sweden,Contender,,Base Collection,2026
541,Dejan Kulusevski,,CORE,Sweden,Contender,,Base Collection,2026
542,Anthony Elanga,,CORE,Sweden,Contender,,Base Collection,2026
543,Viktor Gyökeres,,CORE,Sweden,Contender,,Base Collection,2026
544,Alexander Isak,,CORE,Sweden,Contender,,Base Collection,2026
545,Çağlar Söyüncü,,CORE,Turkey,Contender,,Base Collection,2026
546,Hakan Çalhanoğlu,,CORE,Turkey,Contender,,Base Collection,2026
547,Arda Güler,,CORE,Turkey,Contender,,Base Collection,2026
548,Kenan Yıldız,,CORE,Turkey,Contender,,Base Collection,2026
549,Kerem Aktürkoğlu,,CORE,Turkey,Contender,,Base Collection,2026
550,Emiliano Martínez,,SPECIAL 2,Argentina,Top Keeper,,Base Collection,2026
551,Thibaut Courtois,,SPECIAL 2,Belgium,Top Keeper,,Base Collection,2026
552,Alisson,,SPECIAL 2,Brazil,Top Keeper,,Base Collection,2026
553,Mike Maignan,,SPECIAL 2,France,Top Keeper,,Base Collection,2026
554,Zion Suzuki,,SPECIAL 2,Japan,Top Keeper,,Base Collection,2026
555,Yassine Bounou,,SPECIAL 2,Morocco,Top Keeper,,Base Collection,2026
556,Diogo Costa,,SPECIAL 2,Portugal,Top Keeper,,Base Collection,2026
557,Unai Simón,,SPECIAL 2,Spain,Top Keeper,,Base Collection,2026
558,Gregor Kobel,,SPECIAL 2,Switzerland,Top Keeper,,Base Collection,2026
559,Éder Militão,,SPECIAL 2,Brazil,Defensive Rock,,Base Collection,2026
560,Alphonso Davies,,SPECIAL 2,Canada,Defensive Rock,,Base Collection,2026
561,William Saliba,,SPECIAL 2,France,Defensive Rock,,Base Collection,2026
562,Antonio Rüdiger,,SPECIAL 2,Germany,Defensive Rock,,Base Collection,2026
563,Min-jae Kim,,SPECIAL 2,Korea Republic,Defensive Rock,,Base Collection,2026
564,Achraf Hakimi,,SPECIAL 2,Morocco,Defensive Rock,,Base Collection,2026
565,Virgil van Dijk,,SPECIAL 2,Netherlands,Defensive Rock,,Base Collection,2026
566,Nuno Mendes,,SPECIAL 2,Portugal,Defensive Rock,,Base Collection,2026
567,Dean Huijsen,,SPECIAL 2,Spain,Defensive Rock,,Base Collection,2026
568,Enzo Fernández,,SPECIAL 2,Argentina,Midfield Maestro,,Base Collection,2026
569,Kevin De Bruyne,,SPECIAL 2,Belgium,Midfield Maestro,,Base Collection,2026
570,Casemiro,,SPECIAL 2,Brazil,Midfield Maestro,,Base Collection,2026
571,Luka Modrić,,SPECIAL 2,Croatia,Midfield Maestro,,Base Collection,2026
572,Moisés Caicedo,,SPECIAL 2,Ecuador,Midfield Maestro,,Base Collection,2026
573,Jude Bellingham,,SPECIAL 2,England,Midfield Maestro,,Base Collection,2026
574,Aurélien Tchouaméni,,SPECIAL 2,France,Midfield Maestro,,Base Collection,2026
575,Florian Wirtz,,SPECIAL 2,Germany,Midfield Maestro,,Base Collection,2026
576,Sofyan Amrabat,,SPECIAL 2,Morocco,Midfield Maestro,,Base Collection,2026
577,Tijjani Reijnders,,SPECIAL 2,Netherlands,Midfield Maestro,,Base Collection,2026
578,Martin Ødegaard,,SPECIAL 2,Norway,Midfield Maestro,,Base Collection,2026
579,Vitinha,,SPECIAL 2,Portugal,Midfield Maestro,,Base Collection,2026
580,Scott McTominay,,SPECIAL 2,Scotland,Midfield Maestro,,Base Collection,2026
581,Rodri,,SPECIAL 2,Spain,Midfield Maestro,,Base Collection,2026
582,Pedri,,SPECIAL 2,Spain,Midfield Maestro,,Base Collection,2026
583,Granit Xhaka,,SPECIAL 2,Switzerland,Midfield Maestro,,Base Collection,2026
584,Tyler Adams,,SPECIAL 2,United States,Midfield Maestro,,Base Collection,2026
585,Federico Valverde,,SPECIAL 2,Uruguay,Midfield Maestro,,Base Collection,2026
586,Julián Álvarez,,SPECIAL 2,Argentina,Goal Machine,,Base Collection,2026
587,Romelu Lukaku,,SPECIAL 2,Belgium,Goal Machine,,Base Collection,2026
588,Raphinha,,SPECIAL 2,Brazil,Goal Machine,,Base Collection,2026
589,Jonathan David,,SPECIAL 2,Canada,Goal Machine,,Base Collection,2026
590,Luis Díaz,,SPECIAL 2,Colombia,Goal Machine,,Base Collection,2026
591,Andrej Kramarić,,SPECIAL 2,Croatia,Goal Machine,,Base Collection,2026
592,Enner Valencia,,SPECIAL 2,Ecuador,Goal Machine,,Base Collection,2026
593,Omar Marmoush,,SPECIAL 2,Egypt,Goal Machine,,Base Collection,2026
594,Marcus Rashford,,SPECIAL 2,England,Goal Machine,,Base Collection,2026
595,Randal Kolo Muani,,SPECIAL 2,France,Goal Machine,,Base Collection,2026
596,Kai Havertz,,SPECIAL 2,Germany,Goal Machine,,Base Collection,2026
597,Sébastien Haller,,SPECIAL 2,Ivory Coast,Goal Machine,,Base Collection,2026
598,Raúl Jiménez,,SPECIAL 2,Mexico,Goal Machine,,Base Collection,2026
599,Youssef En-Nesyri,,SPECIAL 2,Morocco,Goal Machine,,Base Collection,2026
600,Cody Gakpo,,SPECIAL 2,Netherlands,Goal Machine,,Base Collection,2026
601,Chris Wood,,SPECIAL 2,New Zealand,Goal Machine,,Base Collection,2026
602,Alexander Sørloth,,SPECIAL 2,Norway,Goal Machine,,Base Collection,2026
603,Nicolas Jackson,,SPECIAL 2,Senegal,Goal Machine,,Base Collection,2026
604,Mikel Oyarzabal,,SPECIAL 2,Spain,Goal Machine,,Base Collection,2026
605,Breel Embolo,,SPECIAL 2,Switzerland,Goal Machine,,Base Collection,2026
606,Christian Pulisic,,SPECIAL 2,United States,Goal Machine,,Base Collection,2026
607,Darwin Núñez,,SPECIAL 2,Uruguay,Goal Machine,,Base Collection,2026
608,Nico Paz,,SPECIAL 1,Argentina,Master Rookie,,Base Collection,2026
609,Franco Mastantuono,,SPECIAL 1,Argentina,Master Rookie,,Base Collection,2026
610,Zeno Debast,,SPECIAL 1,Belgium,Master Rookie,,Base Collection,2026
611,Wesley,,SPECIAL 1,Brazil,Master Rookie,,Base Collection,2026
612,Estêvão,,SPECIAL 1,Brazil,Master Rookie,,Base Collection,2026
613,Petar Sučić,,SPECIAL 1,Croatia,Master Rookie,,Base Collection,2026
614,Kendry Páez,,SPECIAL 1,Ecuador,Master Rookie,,Base Collection,2026
615,Morgan Rogers,,SPECIAL 1,England,Master Rookie,,Base Collection,2026
616,Désiré Doué,,SPECIAL 1,France,Master Rookie,,Base Collection,2026
617,Bradley Barcola,,SPECIAL 1,France,Master Rookie,,Base Collection,2026
618,Nick Woltemade,,SPECIAL 1,Germany,Master Rookie,,Base Collection,2026
619,Xavi Simons,,SPECIAL 1,Netherlands,Master Rookie,,Base Collection,2026
620,Andreas Schjelderup,,SPECIAL 1,Norway,Master Rookie,,Base Collection,2026
621,Diego Gómez,,SPECIAL 1,Paraguay,Master Rookie,,Base Collection,2026
622,João Neves,,SPECIAL 1,Portugal,Master Rookie,,Base Collection,2026
623,Pau Cubarsí,,SPECIAL 1,Spain,Master Rookie,,Base Collection,2026
624,Trophy,,ULTRA RARE,,Official Emblem,,Base Collection,2026
625,Maple,,CORE,,Official Mascot,,Base Collection,2026
626,Clutch,,CORE,,Official Mascot,,Base Collection,2026
627,Zavu,,CORE,,Official Mascot,,Base Collection,2026
628,Nahuel Molina / Emiliano Martínez / Cristian Romero,,ULTRA RARE,Argentina,Eternos 22,,Base Collection,2026
629,Alexis Mac Allister / Rodrigo De Paul / Enzo Fernández,,ULTRA RARE,Argentina,Eternos 22,,Base Collection,2026
630,Lautaro Martínez / Lionel Messi / Julián Álvarez,,ULTRA RARE,Argentina,Eternos 22,,Base Collection,2026
